Model,Version,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,MCC_mean,MCC_std,Accuracy,ROC_AUC,MCC
ann,full,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
logistic_regression,full,0.9975,0.0075,1.0,0.0,0.996,0.012,0.998,0.0061,1.0,0.0,0.9949,0.0154,0.9975 ± 0.0075,1.0000 ± 0.0000,0.9949 ± 0.0154
extra_trees,selected,0.9975,0.0075,1.0,0.0,0.996,0.012,0.998,0.0061,0.9979,0.0064,0.9949,0.0154,0.9975 ± 0.0075,0.9979 ± 0.0064,0.9949 ± 0.0154
lightgbm,selected,0.9975,0.0075,1.0,0.0,0.996,0.012,0.998,0.0061,1.0,0.0,0.9949,0.0154,0.9975 ± 0.0075,1.0000 ± 0.0000,0.9949 ± 0.0154
extra_trees,full,0.995,0.01,1.0,0.0,0.992,0.016,0.9959,0.0082,1.0,0.0,0.9897,0.0205,0.9950 ± 0.0100,1.0000 ± 0.0000,0.9897 ± 0.0205
lightgbm,full,0.995,0.01,1.0,0.0,0.992,0.016,0.9959,0.0082,1.0,0.0,0.9897,0.0205,0.9950 ± 0.0100,1.0000 ± 0.0000,0.9897 ± 0.0205
random_forest,selected,0.995,0.01,1.0,0.0,0.992,0.016,0.9959,0.0082,1.0,0.0,0.9897,0.0205,0.9950 ± 0.0100,1.0000 ± 0.0000,0.9897 ± 0.0205
svm,full,0.9925,0.0115,1.0,0.0,0.988,0.0183,0.9939,0.0094,1.0,0.0,0.9846,0.0235,0.9925 ± 0.0115,1.0000 ± 0.0000,0.9846 ± 0.0235
ann,selected,0.9925,0.0115,1.0,0.0,0.988,0.0183,0.9939,0.0094,1.0,0.0,0.9846,0.0235,0.9925 ± 0.0115,1.0000 ± 0.0000,0.9846 ± 0.0235
svm,selected,0.9925,0.0115,1.0,0.0,0.988,0.0183,0.9939,0.0094,1.0,0.0,0.9846,0.0235,0.9925 ± 0.0115,1.0000 ± 0.0000,0.9846 ± 0.0235
random_forest,full,0.9925,0.0115,0.9923,0.0154,0.996,0.012,0.994,0.0091,1.0,0.0,0.9843,0.0239,0.9925 ± 0.0115,1.0000 ± 0.0000,0.9843 ± 0.0239
xgboost,full,0.99,0.0122,0.9923,0.0154,0.992,0.016,0.992,0.0098,0.9997,0.0008,0.9792,0.0255,0.9900 ± 0.0122,0.9997 ± 0.0008,0.9792 ± 0.0255
logistic_regression,selected,0.9875,0.0168,1.0,0.0,0.98,0.0268,0.9897,0.0139,1.0,0.0,0.9747,0.0336,0.9875 ± 0.0168,1.0000 ± 0.0000,0.9747 ± 0.0336
xgboost,selected,0.985,0.0166,0.9845,0.019,0.992,0.016,0.9881,0.0132,0.9997,0.0008,0.9684,0.0351,0.9850 ± 0.0166,0.9997 ± 0.0008,0.9684 ± 0.0351
decision_tree,selected,0.98,0.0187,0.9962,0.0115,0.972,0.0312,0.9836,0.0155,0.9865,0.0145,0.9595,0.0373,0.9800 ± 0.0187,0.9865 ± 0.0145,0.9595 ± 0.0373
decision_tree,full,0.975,0.025,0.984,0.0196,0.976,0.0265,0.9798,0.0202,0.9747,0.0256,0.9475,0.0527,0.9750 ± 0.0250,0.9747 ± 0.0256,0.9475 ± 0.0527
